reviewKey,choice,disposition,maturity,reason,skillId,itemId,itemName,itemNameZh,slotLabel,effectName,mechanismType,reviewSide,userNote,plainText
3057|3057|sheen|pass|Spellblade,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3057_sheen_spellblade_reviewed_tank_adc,3057,Sheen,耀光,被动1,Spellblade,咒刃/下一次普攻,ADC/攻击者穿,,"After using an ability, your next basic attack within 10 seconds deals as(100% base AD) as(bonus physical damage) on-hit (fd(1.5) second cooldown, starts after using the empowered attack)."
2524|2524|bandlepipes|pass|Fanfare,不做,excluded,not_in_seed,user_marked_no,,2524,Bandlepipes,班德尔音管,被动1,Fanfare,光环/附近范围,坦克/靶子穿,,"tip(Slow; Slowing) or tip(immobilize; immobilizing) an enemy champion empowers you with Fanfare for rd(8; 4) seconds, granting you as(20 bonus movement speed). While empowered, you and nearby allied champions also gain as(rd(30; 20)% bonus attack speed)."
6660|6660|bami_s_cinder|pass|Immolate,不做,excluded,not_in_seed,user_marked_no,,6660,Bami's Cinder,斑比的熔渣,被动1,Immolate,光环/附近范围,坦克/靶子穿,,"Taking or dealing damage activates this passive for 3 seconds. Deal as(15 magic damage) every second to enemies within tip(cr; icononly = true) 325 (+ 100% bonus size) units, with the damage being increased to 150% against tip(minions) and 200% against tip(monsters). This executes minions that would be killed by one more tick of damage."
3110|3110|frozen_heart|pass|Winter's Caress,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3110_frozen_heart_winters_caress_reviewed_tank_adc,3110,Frozen Heart,冰霜之心,被动1,Winter's Caress,光环/附近范围,坦克/靶子穿,研究对攻速ADC的抑制有很大帮助,tip(Cripple; Cripples) the attack speed of enemy champions within tt(700 units; center to edge) by 20%.
6664|6664|hollow_radiance|pass|Immolate,现在做,backlog,not_in_seed,periodic_aura_damage_to_attacker_from_target_item_is_not_encoded_without_target_role_dot_support,,6664,Hollow Radiance,璀璨回响,被动1,Immolate,光环/附近范围,坦克/靶子穿,,"Taking or dealing damage activates this passive for 3 seconds. Deal as(#vardefineecho:hollow_ibase(15) as((+ #vardefineecho:hollow_ihp(1)% bonus health)) magic damage; magic damage) every second to enemies within tip(cr; icononly=true) 325 (+ 100% bonus size) units, with the damage being increased to 125% against tip(minions) and tip(monsters). This executes minions that would be killed by one more tick of damage."
6664|6664|hollow_radiance|pass2|Desolate,不做,excluded,not_in_seed,user_marked_no,,6664,Hollow Radiance,璀璨回响,被动2,Desolate,光环/附近范围,坦克/靶子穿,击杀的是研究兵线的，对1V1没帮助,Killing a tt(non-champion unit; Excluding wards and structures.) causes an eruption around their death location that dealsft(as(ap(#var:hollow_ibase*2) as((+ ap(#var:hollow_ihp*2)% bonus health)) magic damage; magic damage); 200% of Immolate's damage)to enemies within 350 units. Scoring a tip(takedown) against an enemy champion within 3 seconds of damaging them causes a larger eruption that dealsft(as(ap(#var:hollow_ibase*4) as((+ ap(#var:hollow_ihp*4)% bonus health)) magic damage; magic damage); 400% of Immolate's damage)to enemies within 500 units.
3190|3190|locket_of_the_iron_solari|act|Devotion,不做,excluded,not_in_seed,user_marked_no,,3190,Locket of the Iron Solari,钢铁烈阳之匣,主动,Devotion,光环/附近范围,坦克/靶子穿,这是辅助装,Grants you and allied champions within tip(cr; icononly=true) 850 units a tip(shield) for pp(290 to 360 for 11; 1;9 to 18; type=target's level) that decays over fd(2.5) seconds.
2523|2523|hexoptics_c44|pass2|Arcane Aim,现在做,blocked,not_in_seed,source_text_is_range_on_takedown_but_user_note_requests_damage_multiplier; needs_source_resolution_before_seed,,2523,Hexoptics C44,海克斯镜片 C44,被动2,Arcane Aim,光环/附近范围,ADC/攻击者穿,其实就是多一个普通攻击伤害乘区，按照最大值算就行了,Scoring a tip(takedown) against an enemy champion within 3 seconds of damaging them grants you sti(100 bonus attack range) for 8 seconds.
3050|3050|zeke_s_convergence|pass2|Frostfire Tempest,不做,excluded,not_in_seed,user_marked_no,,3050,Zeke's Convergence,基克的聚合,被动2,Frostfire Tempest,光环/附近范围,坦克/靶子穿,,"Upon casting your ultimate ability, and once an enemy champion is within Frostfire Tempest's radius or after 5 seconds otherwise, you summon a storm of flame and ice around you for 5 seconds. The storm dealsft(as(ap(30/4) magic damage) every fd(0.25) seconds; as(ap(30*5) total magic damage) over the duration)to enemy champions within a tip(cr; icononly=true) 350 radius and tip(slow; slows) them by 30% (45 second cooldown, starts on ultimate cast)."
3143|3143|randuin_s_omen|act|Humility,现在做,excluded,not_in_seed,active_slow_has_no_direct_single_attacker_dps_effect; crit_reduction_is_converted_from_resilience_passive,,3143,Randuin's Omen,兰顿之兆,主动,Humility,光环/附近范围,坦克/靶子穿,暴击必须,Unleash a shockwave around you that tip(slow; slows) nearby enemies by 70% for 2 seconds.
3121|3121|fimbulwinter|pass2|Everlasting,不做,excluded,not_in_seed,user_marked_no,,3121,Fimbulwinter,末日寒冬,被动2,Everlasting,光环/附近范围,坦克/靶子穿,,"tip(immobilize; Immobilizing), or tip(slow; slowing) if you are tip(melee), an enemy champion grants a 100 as((+ fd(4.5)% current mana)) tip(shield) for 3 seconds (8 second cooldown). The shield's strength is increasedft(by 80%; to 180 as((+ ap(4.5*1.8)% current mana)))if there is more than one enemy champion within tip(cr; icononly=true) 1200 units."
3068|3068|sunfire_aegis|pass|Immolate,现在做,backlog,not_in_seed,periodic_aura_damage_to_attacker_from_target_item_is_not_encoded_without_target_role_dot_support,,3068,Sunfire Aegis,日炎圣盾,被动1,Immolate,光环/附近范围,坦克/靶子穿,,"Taking or dealing damage activates this passive for 3 seconds. Deal as(20 as((+ 1% bonus health)) magic damage; magic damage) every second to enemies within tip(cr; icononly = true) 325 (+ 100% bonus size) units, with the damage being increased to 160% against tip(minions) and to 200% against tip(monsters). This executes minions that would be killed by one more tick of damage."
8020|8020|abyssal_mask|pass|Unmake,现在做,excluded,not_in_seed,target_wearing_item_increases_damage_taken_by_nearby_enemies_not_damage_taken_by_target_dummy,,8020,Abyssal Mask,深渊面具,被动1,Unmake,光环/附近范围,坦克/靶子穿,,"Enemy champions within tt(700 units; center to edge) of you become cursed, causing them to receive as(12% increased magic damage; magic damage) from all sources."
3077|3077|tiamat|act|Crescent,不做,excluded,not_in_seed,user_marked_no,,3077,Tiamat,提亚马特,主动,Crescent,光环/附近范围,坦克/靶子穿,,Deal as(75% AD) as(physical damage) to enemies within a tip(cr; icononly = true) 450 radius tt(in front of you; 100 unit offset in the caster's facing direction).
2502|2502|unending_despair|pass|Anguish,不做,excluded,not_in_seed,user_marked_no,,2502,Unending Despair,无终恨意,被动1,Anguish,光环/附近范围,坦克/靶子穿,,"Every 4 seconds after entering combat with champions, sap all enemy champions around you within cr(icononly=true) 650 units to deal as(magic damage) equal to as(3% of your bonus health) to them and tip(heal) yourself equal to 250% of the tt(post-mitigation; Damage calculated after modifiers) damage dealt."
228001|228001|anathema_s_chains|pass|Vendetta,现在做,converted,ready_candidate,converted_to_seed_candidate,item_228001_anathemas_chains_vendetta_reviewed_tank_adc,228001,Anathema's Chains,厌恨锁链,被动1,Vendetta,光环/附近范围,坦克/靶子穿,,Take 30% reduced damage from your Nemesis and reduce their tip(tenacity) by 20% while they are within tip(cr; icononly=true) 700 units of you.
3124|3124|guinsoo_s_rageblade|pass2|Seething Strike,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3124_guinsoos_rageblade_seething_strike_reviewed_tank_adc,3124,Guinsoo's Rageblade,鬼索的狂暴之刃,被动2,Seething Strike,普攻命中,ADC/攻击者穿,,"Basic attacks grant as(8% bonus attack speed) for 3 seconds, stacking up to 4 times for a total of as(32% bonus attack speed). At maximum stacks, basic attacks tip(on-attack) also grant a Phantom stack for 6 seconds, up to 2 stacks. At 2 Phantom stacks, the next basic attack consumes all of those stacks tip(on-attack) to trigger a Phantom Hit that applies tip(on-hit) effects to the target after a fd(0.15)-second delay."
6672|6672|kraken_slayer|pass|Bring It Down,现在做,converted,ready_candidate,converted_to_seed_candidate,item_6672_kraken_slayer_bring_it_down_reviewed_tank_adc,6672,Kraken Slayer,海妖杀手,被动1,Bring It Down,普攻命中,ADC/攻击者穿,,"Basic attacks on-hit grant a stack for 3 seconds, up to 2 stacks. At 2 stacks, the next basic attack consumes all stacks to deal as(rd(150 + (200-150)/10*(x-1) for 13; 150*0.8 + (200*0.8-150*0.8)/10*(x-1) for 13; levels=1;9 to 20; pp=true) bonus physical damage; physical damage) on-hit, increased by pp(0 to 75 by 5; 0 to 100; key=%; color=health; type=target's missing health; key1=%), for up to as(rd(150*1.75 + (200*1.75-150*1.75)/10*(x-1) for 13; 150*0.8*1.75 + (200*0.8*1.75-150*0.8*1.75)/10*(x-1) for 13; levels=1;9 to 20; pp=true) bonus physical damage; physical damage)."
3302|3302|terminus|pass2|Juxtaposition,现在做,backlog,not_in_seed,alternating_light_dark_hits_and_penetration_stacks_need_dedicated_state_model,,3302,Terminus,界弓,被动2,Juxtaposition,普攻命中,ADC/攻击者穿,,"Basic attacks tip(on-hit) against champions alternate between Light and Dark hits, each one granting a bonus for 5 seconds that stacks up to 3 times. Light hits grant pp(6 to 8 for 3; 1;11;14; type=level) as(bonus armor) and as(bonus magic resistance) while Dark hits grant 10% as(armor penetration) and as(magic penetration), for a total of pp(6*3 to 8*3 for 3; 1;11;14) bonus resistances and 30% resistances penetration at maximum stacks of each."
3075|3075|thornmail|pass|Thorns,现在做,converted_partial,ready_candidate_partial,converted_to_seed_candidate,item_3075_thornmail_thorns_reviewed_tank_adc,3075,Thornmail,荆棘之甲,被动1,Thorns,普攻命中,坦克/靶子穿,,"When struck by a basic attack on-hit, deal as(20 as((+ 10% bonus armor)) magic damage; magic damage) to the attacker and, if they are a champion, inflict them with tip(Grievous Wounds) for 3 seconds."
3044|3044|phage|pass|Rage,不做,excluded,not_in_seed,user_marked_no,,3044,Phage,净蚀,被动1,Rage,普攻命中,坦克/靶子穿,,Basic attacks on-hit grant as(rd(20; 10) bonus movement speed) for 2 seconds.
3748|3748|titanic_hydra|pass|Cleave,不做,excluded,not_in_seed,user_marked_no,,3748,Titanic Hydra,巨型九头蛇,被动1,Cleave,普攻命中,坦克/靶子穿,,Basic attacks on-hit deal as(rd(1%; fd(0.5)%) maximum health; hp) as(bonus physical damage) to the target and as(rd(3%; fd(1.5)%) maximum health; hp) as(physical damage) to other enemies in a cone in the direction of the primary target.
3748|3748|titanic_hydra|act|Titanic Crescent,不做,excluded,not_in_seed,user_marked_no,,3748,Titanic Hydra,巨型九头蛇,主动,Titanic Crescent,普攻命中,坦克/靶子穿,,"Your next basic attack on-hit within 10 seconds empowers Cleave to deal as(rd(4%; 2%) maximum health; hp) as(bonus physical damage) to the primary target and as(rd(9%; fd(4.5)%) maximum health; hp) as(physical damage) to secondary targets (10 second cooldown, starts after using the empowered attack)."
2512|2512|fiendhunter_bolts|pass2|Opening Barrage,以后做,backlog,not_in_seed,user_marked_later,,2512,Fiendhunter Bolts,猎魔人弩箭,被动2,Opening Barrage,普攻命中,ADC/攻击者穿,大招后就多3下的暴击伤害和攻速，可以晚点做,"After casting your ultimate ability, your next 3 basic attacks tip(on-attack) within 8 seconds gain as(50% bonus attack speed) and are empowered to tip(critically strike) forft(as(critical damage(60; 80); critical damage) bonus damage.; sti(as(80% total critical damage)).)If an attack would have already critically struck, it instead critically strikes forft(as(critical damage(100; 100); critical damage) bonus damage; sti(as(100% total critical damage)))and deals as(bonus true damage) equal to 15% of the triggering as(attack's damage) tt(pre-mitigation; Damage calculated before modifiers)."
3119|3119|winter_s_approach|pass2|Manaflow,不做,excluded,not_in_seed,user_marked_no,,3119,Winter's Approach,凛冬之临,被动2,Manaflow,普攻命中,坦克/靶子穿,,"Grants a charge every 8 seconds, up to 4 charges. Consumes a charge on-hit and whenever affecting an enemy or ally with an ability to grant as(3 bonus mana), increased to as(6; mana) for champion targets, up to a maximum of as(360 bonus mana)."
3085|3085|runaan_s_hurricane|pass|Wind's Fury,不做,excluded,not_in_seed,user_marked_no,,3085,Runaan's Hurricane,卢安娜的飓风,被动1,Wind's Fury,普攻命中,ADC/攻击者穿,单挑意义不大,"Basic attacks on-attack fire additional bolts at up to 2 enemies tt(in front of you; 180degree), each dealing as(55% AD) as(physical damage). Bolts apply tip(on-hit) effects and are affected by tip(critical strike) modifiers."
3042|3042|muramana|pass2|Shock,不做,excluded,not_in_seed,user_marked_no,,3042,Muramana,魔切,被动2,Shock,普攻命中,ADC/攻击者穿,直接按蓝量最高的魔宗就行了,Basic attacks on-hit against champions deal as(as(fd(1.2)% maximum mana) bonus physical damage).
3004|3004|manamune|pass2|Manaflow,现在做,backlog,not_in_seed,mana_charge_growth_not_direct_dps_seed; needs_max_mana_baseline_policy,,3004,Manamune,魔宗,被动2,Manaflow,普攻命中,ADC/攻击者穿,,"Grants a charge every 8 seconds, up to 4 charges. Consumes a charge on-hit and whenever affecting an enemy or ally with an ability to grant as(3 bonus mana), increased to as(6; mana) for champion targets, up to a maximum of as(360 bonus mana). Can only be triggered once per tip(cast instance)."
6675|6675|navori_flickerblade|pass|Transcendence,现在做,backlog,not_in_seed,basic_ability_cooldown_reduction_not_modeled_in_single_attacker_dps,,6675,Navori Flickerblade,纳沃利烁刃,被动1,Transcendence,普攻命中,ADC/攻击者穿,可以帮助我们提前扩展减CD的功能,Basic attacks on-attack reduce the remaining cooldowns of your basic abilities by 15%.
3172__zephyr|3172|zephyr|pass|Like the Wind,不做,excluded,not_in_seed,user_marked_no,,3172__zephyr,Zephyr,炮铜胫甲,被动1,Like the Wind,普攻命中,ADC/攻击者穿,x峡谷没有这个东西,"Basic attacks on-hit grant a stack of Like The Wind for 6 seconds, refreshing on subsequent attacks. For each stack, gain as(5% bonus movement speed; ms), stacking up to 5 times for a total of as(25%; ms)."
3153|3153|blade_of_the_ruined_king|pass|Mist's Edge,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3153_blade_of_the_ruined_king_mists_edge_reviewed_tank_adc,3153,Blade of the Ruined King,破败王者之刃,被动1,Mist's Edge,普攻命中,ADC/攻击者穿,,"Basic attacks deal as(bonus physical damage) on-hit equal to as(rd(9%; 6%) of the target's current health), with a maximum of 100 against tip(minions) and tip(monsters)."
3153|3153|blade_of_the_ruined_king|pass2|Clawing Shadows,现在做,excluded,not_in_seed,third_hit_slow_has_no_direct_damage_effect,,3153,Blade of the Ruined King,破败王者之刃,被动2,Clawing Shadows,普攻命中,ADC/攻击者穿,,"Basic attacks on-hit against enemy champions apply a stack for 6 seconds, stacking up to 3 times. The third stack consumes them all to tip(slow) the target by 30% for 1 second."
3078|3078|trinity_force|pass2|Quicken,现在做,excluded,not_in_seed,movement_speed_buff_has_no_direct_single_attacker_dps_effect,,3078,Trinity Force,三相之力,被动2,Quicken,普攻命中,ADC/攻击者穿,,Basic attacks on-hit grant as(20 bonus movement speed) for 2 seconds
3087|3087|statikk_shiv|pass2|Electroshock,现在做,already_imported,not_in_seed,existing_high_confidence_seed_already_models_charge_gain_per_basic_attack_15,,3087,Statikk Shiv,斯塔缇克电刃,被动2,Electroshock,普攻命中,ADC/攻击者穿,,"Basic attacks generate 9 bonus Energize stacks, for a total of 15 stacks per attack."
3077|3077|tiamat|pass|Cleave,不做,excluded,not_in_seed,user_marked_no,,3077,Tiamat,提亚马特,被动1,Cleave,普攻命中,坦克/靶子穿,,Basic attacks on-hit deal as(rd(40% AD; 20% AD); ad) as(physical damage) to other enemies in a tip(cr; icononly = true) 350 radius centered around the target.
3742|3742|dead_man_s_plate|pass|Shipwrecker,不做,excluded,not_in_seed,user_marked_no,,3742,Dead Man's Plate,亡者的板甲,被动1,Shipwrecker,普攻命中,坦克/靶子穿,,"While moving, generates 7 stacks of Momentum every fd(0.25) seconds, granting up to as(20 bonus movement speed) at 100 stacks after fd(3.75) seconds of moving. Basic attacks consume all stacks to deal as(pp(0 to 40 for 11; 0 to 100; type=Momentum; label1=stacks of Momentum; formula=0.4 for every 1 stack of Momentum, capped at 40); physical damage) as((+ pp(0 to 100 for 11; 0 to 100; key=%; type=Momentum; label1=stacks of Momentum; formula=1% for every 1 stack of Momentum, capped at 100) base AD)) as(bonus physical damage) on-hit."
3084|3084|heartsteel|pass|Colossal Consumption,现在做,backlog,not_in_seed,attacker_owned_on_hit_and_permanent_hp_growth_not_target_side_incoming_effect; needs_target_hp_customization_scope,,3084,Heartsteel,心之钢,被动1,Colossal Consumption,普攻命中,坦克/靶子穿,成长型，可以让我们自定义血量最好了,"While within 700 units of an enemy champion, generate a stack on them each second, stacking up to 3 times. Your next basic attack against a target with 3 stacks is empowered to consume them all to deal as(70; physical damage) as((+ 6% maximum health)) as(bonus physical damage) on-hit and grant you permanent as(bonus health) equal toft(10% of that amount; as(ap(70*0.1) (+ ap(6*0.1)% maximum health))) (30 second cooldown per target)."
3032|3032|yun_tal_wildarrows|pass|Practice Makes Lethal,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3032_yun_tal_wildarrows_practice_makes_lethal_reviewed_tank_adc,3032,Yun Tal Wildarrows,育恩塔尔荒野箭,被动1,Practice Makes Lethal,普攻命中,ADC/攻击者穿,暴击直接按25%就可以了,"Basic attacks tip(on-attack) grant as(rd(fd(0.4)%; fd(0.2)%) critical strike chance) permanently, stacking up to rd(63; 125) times (capped at as(25% critical strike chance))."
3032|3032|yun_tal_wildarrows|pass2|Flurry,现在做,backlog,not_in_seed,attack_speed_buff_uptime_and_crit_cooldown_branch_need_active_cooldown_model,,3032,Yun Tal Wildarrows,育恩塔尔荒野箭,被动2,Flurry,普攻命中,ADC/攻击者穿,,"Launching a basic attack against an enemy champion grants you as(30% bonus attack speed) for 6 seconds (30 second cooldown, reduced by 1 second tip(on-hit) and 2 seconds if the attack tip(critical strike; critically strikes))."
4401|4401|force_of_nature|pass|Steadfast,现在做,converted,ready_candidate,converted_to_seed_candidate,item_4401_force_of_nature_steadfast_reviewed_tank_adc,4401,Force of Nature,自然之力,被动1,Steadfast,普攻命中,坦克/靶子穿,,"Taking as(magic damage) from champions generates a stack of Steadfast for 7 seconds, stacking up to 8 times with the duration refreshing on subsequent as(magic damage) from them and whenever dealing damage to them. Becoming tip(immobilize; immobilized) by an enemy champion generates 2 stacks and also refreshes the duration. Once per tip(cast instance), each incoming basic attack, ability, or item effect can only generate 1 stack of Steadfast from their damage every 1 second. At maximum stacks, gain as(70 bonus magic resistance) and as(6% bonus movement speed)."
1083|1083|cull|pass|Reap,现在做,excluded,not_in_seed,economy_gold_effect,,1083,Cull,萃取,被动1,Reap,其他,ADC/攻击者穿,,"Killing a minion grants an additional g(1), up to a maximum of g(100)."
1102|1102|gustwalker_hatchling|pass|Jungle Companions,不做,excluded,not_in_seed,user_marked_no,,1102,Gustwalker Hatchling,风行狐幼体,被动1,Jungle Companions,其他,ADC/攻击者穿 + 坦克/靶子穿,,Summon a Gustwalker Hatchling companion to assist you in combat against monsters.
1102|1102|gustwalker_hatchling|pass2|Gustwalker's Gait,不做,excluded,not_in_seed,user_marked_no,,1102,Gustwalker Hatchling,风行狐幼体,被动2,Gustwalker's Gait,其他,ADC/攻击者穿 + 坦克/靶子穿,,"Feed your companion enough treats to evolve it and upgrade your si(Smite). Upon the companion reaching its final evolution, this item is consumed, granting you the bi(Gustwalker's Gait) buff."
3046|3046|phantom_dancer|pass|Spectral Waltz,不做,excluded,not_in_seed,user_marked_no,,3046,Phantom Dancer,幻影之舞,被动1,Spectral Waltz,其他,ADC/攻击者穿,幽灵状态没啥用,Become permanently tip(ghosted).
3050|3050|zeke_s_convergence|pass|Cryocombustion,不做,excluded,not_in_seed,user_marked_no,,3050,Zeke's Convergence,基克的聚合,被动1,Cryocombustion,其他,坦克/靶子穿,,Gain 15 ultimate haste.
2512|2512|fiendhunter_bolts|pass|Night Vigil,现在做,excluded,not_in_seed,ultimate_haste_not_single_attacker_basic_dps,,2512,Fiendhunter Bolts,猎魔人弩箭,被动1,Night Vigil,其他,ADC/攻击者穿,,Gain 30 ultimate haste.
3119|3119|winter_s_approach|pass3|,不做,excluded,not_in_seed,user_marked_no,,3119,Winter's Approach,凛冬之临,被动3,,其他,坦克/靶子穿,,Transforms into ii(Fimbulwinter) at as(360 bonus mana).
3004|3004|manamune|pass3|,不做,excluded,not_in_seed,user_marked_no,,3004,Manamune,魔宗,被动3,,其他,ADC/攻击者穿,,Transforms into ii(Muramana) at as(360 bonus mana).
3070|3070|tear_of_the_goddess|pass|Manaflow,不做,excluded,not_in_seed,user_marked_no,,3070,Tear of the Goddess,女神之泪,被动1,Manaflow,其他,ADC/攻击者穿,,"Grants a charge every 8 seconds, up to 4 charges. Affecting an enemy or ally with an ability consumes a charge to grant as(3 bonus mana), increased to as(6; mana) if they are a champion, up to maximum of as(360 bonus mana). Can only be triggered if an ability was cast and only once per tip(cast instance)."
6665|6665|jak_sho_the_protean|pass|Voidborn Resilience,现在做,backlog,not_in_seed,bonus_armor_mr_percent_requires_bonus_only_attribute_bucket_not_total_resist_percent,,6665,"Jak'Sho, The Protean",千变者贾修,被动1,Voidborn Resilience,其他,坦克/靶子穿,,"Gain a stack for each second in combat with enemy champions, stacking up to 5 times. At maximum stacks, increase your as(bonus armor) and as(bonus magic resistance) by 30% until the end of combat."
6676|6676|the_collector|pass2|Taxes,现在做,excluded,not_in_seed,economy_gold_effect,,6676,The Collector,收集者,被动2,Taxes,其他,ADC/攻击者穿,,Killing a champion grants you an additional g(25).
1103|1103|mosstomper_seedling|pass|Jungle Companions,不做,excluded,not_in_seed,user_marked_no,,1103,Mosstomper Seedling,踏苔蜥幼苗,被动1,Jungle Companions,其他,ADC/攻击者穿 + 坦克/靶子穿,,Summon a Mosstomper Seedling companion to assist you in combat against monsters.
1103|1103|mosstomper_seedling|pass2|Mosstomper's Courage,不做,excluded,not_in_seed,user_marked_no,,1103,Mosstomper Seedling,踏苔蜥幼苗,被动2,Mosstomper's Courage,其他,ADC/攻击者穿 + 坦克/靶子穿,,"Feed your companion enough treats to evolve it and upgrade your si(Smite). Upon the companion reaching its final evolution, this item is consumed, granting you the bi(Mosstomper's Courage) buff."
